"Aasta","Maakond","Näitaja","value"
"2003","Jõgeva maakond","Hukkunuga liiklusõnnetused",6
"2004","Jõgeva maakond","Hukkunuga liiklusõnnetused",3
"2005","Jõgeva maakond","Hukkunuga liiklusõnnetused",7
"2006","Jõgeva maakond","Hukkunuga liiklusõnnetused",10
"2007","Jõgeva maakond","Hukkunuga liiklusõnnetused",8
"2008","Jõgeva maakond","Hukkunuga liiklusõnnetused",6
"2009","Jõgeva maakond","Hukkunuga liiklusõnnetused",3
"2010","Jõgeva maakond","Hukkunuga liiklusõnnetused",10
"2011","Jõgeva maakond","Hukkunuga liiklusõnnetused",4
"2012","Jõgeva maakond","Hukkunuga liiklusõnnetused",4
"2013","Jõgeva maakond","Hukkunuga liiklusõnnetused",4
"2014","Jõgeva maakond","Hukkunuga liiklusõnnetused",0
"2015","Jõgeva maakond","Hukkunuga liiklusõnnetused",3
"1998","Järva maakond","Hukkunuga liiklusõnnetused",5
"1999","Järva maakond","Hukkunuga liiklusõnnetused",8
"2000","Järva maakond","Hukkunuga liiklusõnnetused",10
"2001","Järva maakond","Hukkunuga liiklusõnnetused",4
"2002","Järva maakond","Hukkunuga liiklusõnnetused",10
"2003","Järva maakond","Hukkunuga liiklusõnnetused",7
"2004","Järva maakond","Hukkunuga liiklusõnnetused",5
"2005","Järva maakond","Hukkunuga liiklusõnnetused",7
"2006","Järva maakond","Hukkunuga liiklusõnnetused",7
"2007","Järva maakond","Hukkunuga liiklusõnnetused",9
"2008","Järva maakond","Hukkunuga liiklusõnnetused",5
"2009","Järva maakond","Hukkunuga liiklusõnnetused",4
"2010","Järva maakond","Hukkunuga liiklusõnnetused",5
"2011","Järva maakond","Hukkunuga liiklusõnnetused",5
"2012","Järva maakond","Hukkunuga liiklusõnnetused",3
"2013","Järva maakond","Hukkunuga liiklusõnnetused",3
"2014","Järva maakond","Hukkunuga liiklusõnnetused",4
"2015","Järva maakond","Hukkunuga liiklusõnnetused",0
"1998","Lääne maakond","Hukkunuga liiklusõnnetused",8
"1999","Lääne maakond","Hukkunuga liiklusõnnetused",6
"2000","Lääne maakond","Hukkunuga liiklusõnnetused",5
"2001","Lääne maakond","Hukkunuga liiklusõnnetused",8
"2002","Lääne maakond","Hukkunuga liiklusõnnetused",5
"2003","Lääne maakond","Hukkunuga liiklusõnnetused",5
"2004","Lääne maakond","Hukkunuga liiklusõnnetused",4
"2005","Lääne maakond","Hukkunuga liiklusõnnetused",2
"2006","Lääne maakond","Hukkunuga liiklusõnnetused",4
"2007","Lääne maakond","Hukkunuga liiklusõnnetused",6
"2008","Lääne maakond","Hukkunuga liiklusõnnetused",7
"2009","Lääne maakond","Hukkunuga liiklusõnnetused",2
"2010","Lääne maakond","Hukkunuga liiklusõnnetused",2
"2011","Lääne maakond","Hukkunuga liiklusõnnetused",0
"2012","Lääne maakond","Hukkunuga liiklusõnnetused",1
"2013","Lääne maakond","Hukkunuga liiklusõnnetused",2
"2014","Lääne maakond","Hukkunuga liiklusõnnetused",3
"2015","Lääne maakond","Hukkunuga liiklusõnnetused",0
"1998","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",24
"1999","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",13
"2000","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",14
"2001","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",12
"2002","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",19
"2003","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",11
"2004","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",14
"2005","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",14
"2006","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",6
"2007","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",14
"2008","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",8
"2009","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",9
"2010","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",4
"2011","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",3
"2012","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",8
"2013","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",6
"2014","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",6
"2015","Lääne-Viru maakond","Hukkunuga liiklusõnnetused",5
"1998","Põlva maakond","Hukkunuga liiklusõnnetused",5
"1999","Põlva maakond","Hukkunuga liiklusõnnetused",11
"2000","Põlva maakond","Hukkunuga liiklusõnnetused",4
"2001","Põlva maakond","Hukkunuga liiklusõnnetused",3
"2002","Põlva maakond","Hukkunuga liiklusõnnetused",7
"2003","Põlva maakond","Hukkunuga liiklusõnnetused",2
"2004","Põlva maakond","Hukkunuga liiklusõnnetused",2
"2005","Põlva maakond","Hukkunuga liiklusõnnetused",2
"2006","Põlva maakond","Hukkunuga liiklusõnnetused",3
"2007","Põlva maakond","Hukkunuga liiklusõnnetused",5
"2008","Põlva maakond","Hukkunuga liiklusõnnetused",2
"2009","Põlva maakond","Hukkunuga liiklusõnnetused",2
"2010","Põlva maakond","Hukkunuga liiklusõnnetused",2
"2011","Põlva maakond","Hukkunuga liiklusõnnetused",3
"2012","Põlva maakond","Hukkunuga liiklusõnnetused",2
"2013","Põlva maakond","Hukkunuga liiklusõnnetused",3
"2014","Põlva maakond","Hukkunuga liiklusõnnetused",4
"2015","Põlva maakond","Hukkunuga liiklusõnnetused",0
"1998","Pärnu maakond","Hukkunuga liiklusõnnetused",17
"1999","Pärnu maakond","Hukkunuga liiklusõnnetused",17
"2000","Pärnu maakond","Hukkunuga liiklusõnnetused",16
"2001","Pärnu maakond","Hukkunuga liiklusõnnetused",18
"2002","Pärnu maakond","Hukkunuga liiklusõnnetused",16
"2003","Pärnu maakond","Hukkunuga liiklusõnnetused",7
"2004","Pärnu maakond","Hukkunuga liiklusõnnetused",11
"2005","Pärnu maakond","Hukkunuga liiklusõnnetused",13
"2006","Pärnu maakond","Hukkunuga liiklusõnnetused",14
"2007","Pärnu maakond","Hukkunuga liiklusõnnetused",10
"2008","Pärnu maakond","Hukkunuga liiklusõnnetused",15
"2009","Pärnu maakond","Hukkunuga liiklusõnnetused",7
"2010","Pärnu maakond","Hukkunuga liiklusõnnetused",3
"2011","Pärnu maakond","Hukkunuga liiklusõnnetused",6
"2012","Pärnu maakond","Hukkunuga liiklusõnnetused",9
"2013","Pärnu maakond","Hukkunuga liiklusõnnetused",5
"2014","Pärnu maakond","Hukkunuga liiklusõnnetused",5
"2015","Pärnu maakond","Hukkunuga liiklusõnnetused",9
"1998","..Pärnu linn","Hukkunuga liiklusõnnetused",4
"1999","..Pärnu linn","Hukkunuga liiklusõnnetused",4
"2000","..Pärnu linn","Hukkunuga liiklusõnnetused",1
"2001","..Pärnu linn","Hukkunuga liiklusõnnetused",2
"2002","..Pärnu linn","Hukkunuga liiklusõnnetused",3
"2003","..Pärnu linn","Hukkunuga liiklusõnnetused",2
"2004","..Pärnu linn","Hukkunuga liiklusõnnetused",1
"2005","..Pärnu linn","Hukkunuga liiklusõnnetused",0
"2006","..Pärnu linn","Hukkunuga liiklusõnnetused",3
"2007","..Pärnu linn","Hukkunuga liiklusõnnetused",1
"2008","..Pärnu linn","Hukkunuga liiklusõnnetused",1
"2009","..Pärnu linn","Hukkunuga liiklusõnnetused",0
"2010","..Pärnu linn","Hukkunuga liiklusõnnetused",1
"2011","..Pärnu linn","Hukkunuga liiklusõnnetused",2
"2012","..Pärnu linn","Hukkunuga liiklusõnnetused",2
"2013","..Pärnu linn","Hukkunuga liiklusõnnetused",1
"2014","..Pärnu linn","Hukkunuga liiklusõnnetused",0
"2015","..Pärnu linn","Hukkunuga liiklusõnnetused",1
"1998","Rapla maakond","Hukkunuga liiklusõnnetused",15
"1999","Rapla maakond","Hukkunuga liiklusõnnetused",10
"2000","Rapla maakond","Hukkunuga liiklusõnnetused",8
"2001","Rapla maakond","Hukkunuga liiklusõnnetused",4
"2002","Rapla maakond","Hukkunuga liiklusõnnetused",7
"2003","Rapla maakond","Hukkunuga liiklusõnnetused",13
"2004","Rapla maakond","Hukkunuga liiklusõnnetused",9
"2005","Rapla maakond","Hukkunuga liiklusõnnetused",8
"2006","Rapla maakond","Hukkunuga liiklusõnnetused",12
"2007","Rapla maakond","Hukkunuga liiklusõnnetused",11
"2008","Rapla maakond","Hukkunuga liiklusõnnetused",1
"2009","Rapla maakond","Hukkunuga liiklusõnnetused",3
"2010","Rapla maakond","Hukkunuga liiklusõnnetused",4
"2011","Rapla maakond","Hukkunuga liiklusõnnetused",5
"2012","Rapla maakond","Hukkunuga liiklusõnnetused",4
"2013","Rapla maakond","Hukkunuga liiklusõnnetused",1
"2014","Rapla maakond","Hukkunuga liiklusõnnetused",3
"2015","Rapla maakond","Hukkunuga liiklusõnnetused",2
"1998","Saare maakond","Hukkunuga liiklusõnnetused",6
"1999","Saare maakond","Hukkunuga liiklusõnnetused",5
"2000","Saare maakond","Hukkunuga liiklusõnnetused",5
"2001","Saare maakond","Hukkunuga liiklusõnnetused",1
"2002","Saare maakond","Hukkunuga liiklusõnnetused",8
"2003","Saare maakond","Hukkunuga liiklusõnnetused",2
"2004","Saare maakond","Hukkunuga liiklusõnnetused",3
"2005","Saare maakond","Hukkunuga liiklusõnnetused",4
"2006","Saare maakond","Hukkunuga liiklusõnnetused",8
"2007","Saare maakond","Hukkunuga liiklusõnnetused",6
"2008","Saare maakond","Hukkunuga liiklusõnnetused",4
"2009","Saare maakond","Hukkunuga liiklusõnnetused",2
"2010","Saare maakond","Hukkunuga liiklusõnnetused",0
"2011","Saare maakond","Hukkunuga liiklusõnnetused",3
"2012","Saare maakond","Hukkunuga liiklusõnnetused",1
"2013","Saare maakond","Hukkunuga liiklusõnnetused",0
"2014","Saare maakond","Hukkunuga liiklusõnnetused",3
"2015","Saare maakond","Hukkunuga liiklusõnnetused",0
"1998","Tartu maakond","Hukkunuga liiklusõnnetused",26
"1999","Tartu maakond","Hukkunuga liiklusõnnetused",13
"2000","Tartu maakond","Hukkunuga liiklusõnnetused",18
"2001","Tartu maakond","Hukkunuga liiklusõnnetused",17
"2002","Tartu maakond","Hukkunuga liiklusõnnetused",17
"2003","Tartu maakond","Hukkunuga liiklusõnnetused",18
"2004","Tartu maakond","Hukkunuga liiklusõnnetused",13
"2005","Tartu maakond","Hukkunuga liiklusõnnetused",14
"2006","Tartu maakond","Hukkunuga liiklusõnnetused",16
"2007","Tartu maakond","Hukkunuga liiklusõnnetused",17
"2008","Tartu maakond","Hukkunuga liiklusõnnetused",13
"2009","Tartu maakond","Hukkunuga liiklusõnnetused",9
"2010","Tartu maakond","Hukkunuga liiklusõnnetused",6
"2011","Tartu maakond","Hukkunuga liiklusõnnetused",9
"2012","Tartu maakond","Hukkunuga liiklusõnnetused",7
"2013","Tartu maakond","Hukkunuga liiklusõnnetused",8
"2014","Tartu maakond","Hukkunuga liiklusõnnetused",8
"2015","Tartu maakond","Hukkunuga liiklusõnnetused",6
"1998","..Tartu linn","Hukkunuga liiklusõnnetused",8
"1999","..Tartu linn","Hukkunuga liiklusõnnetused",0
"2000","..Tartu linn","Hukkunuga liiklusõnnetused",4
"2001","..Tartu linn","Hukkunuga liiklusõnnetused",4
"2002","..Tartu linn","Hukkunuga liiklusõnnetused",4
"2003","..Tartu linn","Hukkunuga liiklusõnnetused",1
"2004","..Tartu linn","Hukkunuga liiklusõnnetused",2
"2005","..Tartu linn","Hukkunuga liiklusõnnetused",2
"2006","..Tartu linn","Hukkunuga liiklusõnnetused",2
"2007","..Tartu linn","Hukkunuga liiklusõnnetused",4
"2008","..Tartu linn","Hukkunuga liiklusõnnetused",3
"2009","..Tartu linn","Hukkunuga liiklusõnnetused",2
"2010","..Tartu linn","Hukkunuga liiklusõnnetused",0
"2011","..Tartu linn","Hukkunuga liiklusõnnetused",4
"2012","..Tartu linn","Hukkunuga liiklusõnnetused",0
"2013","..Tartu linn","Hukkunuga liiklusõnnetused",2
"2014","..Tartu linn","Hukkunuga liiklusõnnetused",3
"2015","..Tartu linn","Hukkunuga liiklusõnnetused",4
"1998","Valga maakond","Hukkunuga liiklusõnnetused",3
"1999","Valga maakond","Hukkunuga liiklusõnnetused",4
"2000","Valga maakond","Hukkunuga liiklusõnnetused",8
"2001","Valga maakond","Hukkunuga liiklusõnnetused",7
"2002","Valga maakond","Hukkunuga liiklusõnnetused",3
"2003","Valga maakond","Hukkunuga liiklusõnnetused",2
"2004","Valga maakond","Hukkunuga liiklusõnnetused",4
"2005","Valga maakond","Hukkunuga liiklusõnnetused",2
"2006","Valga maakond","Hukkunuga liiklusõnnetused",3
"2007","Valga maakond","Hukkunuga liiklusõnnetused",3
"2008","Valga maakond","Hukkunuga liiklusõnnetused",3
"2009","Valga maakond","Hukkunuga liiklusõnnetused",3
"2010","Valga maakond","Hukkunuga liiklusõnnetused",2
"2011","Valga maakond","Hukkunuga liiklusõnnetused",2
"2012","Valga maakond","Hukkunuga liiklusõnnetused",2
"2013","Valga maakond","Hukkunuga liiklusõnnetused",2
"2014","Valga maakond","Hukkunuga liiklusõnnetused",4
"2015","Valga maakond","Hukkunuga liiklusõnnetused",1
"1998","Viljandi maakond","Hukkunuga liiklusõnnetused",14
"1999","Viljandi maakond","Hukkunuga liiklusõnnetused",8
"2000","Viljandi maakond","Hukkunuga liiklusõnnetused",6
"2001","Viljandi maakond","Hukkunuga liiklusõnnetused",7
"2002","Viljandi maakond","Hukkunuga liiklusõnnetused",6
"2003","Viljandi maakond","Hukkunuga liiklusõnnetused",8
"2004","Viljandi maakond","Hukkunuga liiklusõnnetused",7
"2005","Viljandi maakond","Hukkunuga liiklusõnnetused",9
"2006","Viljandi maakond","Hukkunuga liiklusõnnetused",10
"2007","Viljandi maakond","Hukkunuga liiklusõnnetused",4
"2008","Viljandi maakond","Hukkunuga liiklusõnnetused",4
"2009","Viljandi maakond","Hukkunuga liiklusõnnetused",1
"2010","Viljandi maakond","Hukkunuga liiklusõnnetused",2
"2011","Viljandi maakond","Hukkunuga liiklusõnnetused",6
"2012","Viljandi maakond","Hukkunuga liiklusõnnetused",1
"2013","Viljandi maakond","Hukkunuga liiklusõnnetused",3
"2014","Viljandi maakond","Hukkunuga liiklusõnnetused",4
"2015","Viljandi maakond","Hukkunuga liiklusõnnetused",4
"1998","Võru maakond","Hukkunuga liiklusõnnetused",12
"1999","Võru maakond","Hukkunuga liiklusõnnetused",11
"2000","Võru maakond","Hukkunuga liiklusõnnetused",12
"2001","Võru maakond","Hukkunuga liiklusõnnetused",9
"2002","Võru maakond","Hukkunuga liiklusõnnetused",6
"2003","Võru maakond","Hukkunuga liiklusõnnetused",5
"2004","Võru maakond","Hukkunuga liiklusõnnetused",3
"2005","Võru maakond","Hukkunuga liiklusõnnetused",5
"2006","Võru maakond","Hukkunuga liiklusõnnetused",9
"2007","Võru maakond","Hukkunuga liiklusõnnetused",3
"2008","Võru maakond","Hukkunuga liiklusõnnetused",1
"2009","Võru maakond","Hukkunuga liiklusõnnetused",5
"2010","Võru maakond","Hukkunuga liiklusõnnetused",2
"2011","Võru maakond","Hukkunuga liiklusõnnetused",4
"2012","Võru maakond","Hukkunuga liiklusõnnetused",4
"2013","Võru maakond","Hukkunuga liiklusõnnetused",4
"2014","Võru maakond","Hukkunuga liiklusõnnetused",2
"2015","Võru maakond","Hukkunuga liiklusõnnetused",2
"1998","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",430
"1999","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",325
"2000","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",326
"2001","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",400
"2002","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",503
"2003","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",400
"2004","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",409
"2005","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",442
"2006","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",540
"2007","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",552
"2008","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",391
"2009","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",280
"2010","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",203
"2011","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",216
"2012","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",203
"2013","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",204
"2014","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",180
"2015","Kogu Eesti","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",154
"1998","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",72
"1999","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",53
"2000","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",59
"2001","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",89
"2002","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",137
"2003","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",111
"2004","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",127
"2005","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",127
"2006","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",162
"2007","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",173
"2008","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",107
"2009","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",68
"2010","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",47
"2011","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",67
"2012","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",71
"2013","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",46
"2014","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",46
"2015","Harju maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",48
"1998","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",43
"1999","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",32
"2000","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",36
"2001","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",47
"2002","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",91
"2003","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",68
"2004","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",64
"2005","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",73
"2006","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",80
"2007","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",78
"2008","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",60
"2009","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",30
"2010","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",25
"2011","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",42
"2012","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",41
"2013","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",25
"2014","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",19
"2015","..Tallinn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",26
"1998","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",4
"1999","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",3
"2000","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",9
"2001","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",3
"2002","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",6
"2003","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",1
"2004","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",5
"2005","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",1
"2006","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",5
"2007","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",7
"2008","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",1
"2009","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",4
"2010","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",3
"2011","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",2
"2012","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",2
"2013","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",2
"2014","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",1
"2015","Hiiu maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",0
"1998","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",42
"1999","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",33
"2000","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",34
"2001","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",46
"2002","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",31
"2003","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",28
"2004","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",26
"2005","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",38
"2006","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",49
"2007","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",48
"2008","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",32
"2009","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",23
"2010","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",12
"2011","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",13
"2012","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",12
"2013","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",14
"2014","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",7
"2015","Ida-Viru maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",10
"1998","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",3
"1999","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",4
"2000","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",2
"2001","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",6
"2002","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",1
"2003","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",2
"2004","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",0
"2005","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",5
"2006","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",4
"2007","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",8
"2008","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",2
"2009","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",1
"2010","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",3
"2011","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",1
"2012","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",1
"2013","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",2
"2014","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",0
"2015","..Kohtla-Järve linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",0
"1998","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",7
"1999","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",10
"2000","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",9
"2001","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",12
"2002","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",12
"2003","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",6
"2004","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",6
"2005","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",6
"2006","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",12
"2007","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",5
"2008","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",5
"2009","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",8
"2010","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",2
"2011","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",3
"2012","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",5
"2013","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",6
"2014","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",4
"2015","..Narva linn","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",5
"1998","Jõgeva maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",30
"1999","Jõgeva maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",15
"2000","Jõgeva maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",20
"2001","Jõgeva maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",28
"2002","Jõgeva maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",28
"2003","Jõgeva maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",18
"2004","Jõgeva maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",14
"2005","Jõgeva maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",13
"2006","Jõgeva maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",21
"2007","Jõgeva maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",27
"2008","Jõgeva maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",17
"2009","Jõgeva maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",10
"2010","Jõgeva maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",10
"2011","Jõgeva maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",14
"2012","Jõgeva maakond","Liiklusõnnetused joobes mootorsõidukijuhi osalusel",12
