"Aasta","Maakond","Näitaja","value"
"2013","..Kohtla-Järve linn","Liiklusõnnetused",10
"2014","..Kohtla-Järve linn","Liiklusõnnetused",12
"2015","..Kohtla-Järve linn","Liiklusõnnetused",8
"1998","..Narva linn","Liiklusõnnetused",43
"1999","..Narva linn","Liiklusõnnetused",51
"2000","..Narva linn","Liiklusõnnetused",43
"2001","..Narva linn","Liiklusõnnetused",69
"2002","..Narva linn","Liiklusõnnetused",51
"2003","..Narva linn","Liiklusõnnetused",34
"2004","..Narva linn","Liiklusõnnetused",58
"2005","..Narva linn","Liiklusõnnetused",54
"2006","..Narva linn","Liiklusõnnetused",84
"2007","..Narva linn","Liiklusõnnetused",51
"2008","..Narva linn","Liiklusõnnetused",30
"2009","..Narva linn","Liiklusõnnetused",25
"2010","..Narva linn","Liiklusõnnetused",23
"2011","..Narva linn","Liiklusõnnetused",32
"2012","..Narva linn","Liiklusõnnetused",32
"2013","..Narva linn","Liiklusõnnetused",41
"2014","..Narva linn","Liiklusõnnetused",39
"2015","..Narva linn","Liiklusõnnetused",57
"1998","Jõgeva maakond","Liiklusõnnetused",74
"1999","Jõgeva maakond","Liiklusõnnetused",46
"2000","Jõgeva maakond","Liiklusõnnetused",56
"2001","Jõgeva maakond","Liiklusõnnetused",73
"2002","Jõgeva maakond","Liiklusõnnetused",82
"2003","Jõgeva maakond","Liiklusõnnetused",67
"2004","Jõgeva maakond","Liiklusõnnetused",46
"2005","Jõgeva maakond","Liiklusõnnetused",58
"2006","Jõgeva maakond","Liiklusõnnetused",79
"2007","Jõgeva maakond","Liiklusõnnetused",77
"2008","Jõgeva maakond","Liiklusõnnetused",65
"2009","Jõgeva maakond","Liiklusõnnetused",42
"2010","Jõgeva maakond","Liiklusõnnetused",40
"2011","Jõgeva maakond","Liiklusõnnetused",51
"2012","Jõgeva maakond","Liiklusõnnetused",40
"2013","Jõgeva maakond","Liiklusõnnetused",37
"2014","Jõgeva maakond","Liiklusõnnetused",34
"2015","Jõgeva maakond","Liiklusõnnetused",35
"1998","Järva maakond","Liiklusõnnetused",52
"1999","Järva maakond","Liiklusõnnetused",58
"2000","Järva maakond","Liiklusõnnetused",73
"2001","Järva maakond","Liiklusõnnetused",72
"2002","Järva maakond","Liiklusõnnetused",87
"2003","Järva maakond","Liiklusõnnetused",60
"2004","Järva maakond","Liiklusõnnetused",72
"2005","Järva maakond","Liiklusõnnetused",72
"2006","Järva maakond","Liiklusõnnetused",97
"2007","Järva maakond","Liiklusõnnetused",87
"2008","Järva maakond","Liiklusõnnetused",64
"2009","Järva maakond","Liiklusõnnetused",65
"2010","Järva maakond","Liiklusõnnetused",47
"2011","Järva maakond","Liiklusõnnetused",54
"2012","Järva maakond","Liiklusõnnetused",46
"2013","Järva maakond","Liiklusõnnetused",50
"2014","Järva maakond","Liiklusõnnetused",41
"2015","Järva maakond","Liiklusõnnetused",28
"1998","Lääne maakond","Liiklusõnnetused",24
"1999","Lääne maakond","Liiklusõnnetused",21
"2000","Lääne maakond","Liiklusõnnetused",18
"2001","Lääne maakond","Liiklusõnnetused",30
"2002","Lääne maakond","Liiklusõnnetused",37
"2003","Lääne maakond","Liiklusõnnetused",45
"2004","Lääne maakond","Liiklusõnnetused",47
"2005","Lääne maakond","Liiklusõnnetused",48
"2006","Lääne maakond","Liiklusõnnetused",47
"2007","Lääne maakond","Liiklusõnnetused",63
"2008","Lääne maakond","Liiklusõnnetused",41
"2009","Lääne maakond","Liiklusõnnetused",35
"2010","Lääne maakond","Liiklusõnnetused",20
"2011","Lääne maakond","Liiklusõnnetused",26
"2012","Lääne maakond","Liiklusõnnetused",17
"2013","Lääne maakond","Liiklusõnnetused",28
"2014","Lääne maakond","Liiklusõnnetused",33
"2015","Lääne maakond","Liiklusõnnetused",20
"1998","Lääne-Viru maakond","Liiklusõnnetused",128
"1999","Lääne-Viru maakond","Liiklusõnnetused",99
"2000","Lääne-Viru maakond","Liiklusõnnetused",132
"2001","Lääne-Viru maakond","Liiklusõnnetused",141
"2002","Lääne-Viru maakond","Liiklusõnnetused",137
"2003","Lääne-Viru maakond","Liiklusõnnetused",114
"2004","Lääne-Viru maakond","Liiklusõnnetused",110
"2005","Lääne-Viru maakond","Liiklusõnnetused",147
"2006","Lääne-Viru maakond","Liiklusõnnetused",155
"2007","Lääne-Viru maakond","Liiklusõnnetused",148
"2008","Lääne-Viru maakond","Liiklusõnnetused",104
"2009","Lääne-Viru maakond","Liiklusõnnetused",83
"2010","Lääne-Viru maakond","Liiklusõnnetused",77
"2011","Lääne-Viru maakond","Liiklusõnnetused",74
"2012","Lääne-Viru maakond","Liiklusõnnetused",69
"2013","Lääne-Viru maakond","Liiklusõnnetused",66
"2014","Lääne-Viru maakond","Liiklusõnnetused",66
"2015","Lääne-Viru maakond","Liiklusõnnetused",64
"1998","Põlva maakond","Liiklusõnnetused",34
"1999","Põlva maakond","Liiklusõnnetused",34
"2000","Põlva maakond","Liiklusõnnetused",37
"2001","Põlva maakond","Liiklusõnnetused",21
"2002","Põlva maakond","Liiklusõnnetused",47
"2003","Põlva maakond","Liiklusõnnetused",25
"2004","Põlva maakond","Liiklusõnnetused",44
"2005","Põlva maakond","Liiklusõnnetused",43
"2006","Põlva maakond","Liiklusõnnetused",65
"2007","Põlva maakond","Liiklusõnnetused",47
"2008","Põlva maakond","Liiklusõnnetused",39
"2009","Põlva maakond","Liiklusõnnetused",40
"2010","Põlva maakond","Liiklusõnnetused",41
"2011","Põlva maakond","Liiklusõnnetused",35
"2012","Põlva maakond","Liiklusõnnetused",41
"2013","Põlva maakond","Liiklusõnnetused",31
"2014","Põlva maakond","Liiklusõnnetused",36
"2015","Põlva maakond","Liiklusõnnetused",29
"1998","Pärnu maakond","Liiklusõnnetused",122
"1999","Pärnu maakond","Liiklusõnnetused",94
"2000","Pärnu maakond","Liiklusõnnetused",84
