"Vanuserühm","Maakond","Aasta","Sugu","value"
"Vanuserühmad kokku","Maakond teadmata","2003","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2004","Mehed ja naised",1366250
"Vanuserühmad kokku","Harju maakond","2004","Mehed ja naised",536830
"Vanuserühmad kokku","..Tallinn","2004","Mehed ja naised",398310
"Vanuserühmad kokku","Hiiu maakond","2004","Mehed ja naised",9600
"Vanuserühmad kokku","Ida-Viru maakond","2004","Mehed ja naised",172450
"Vanuserühmad kokku","Jõgeva maakond","2004","Mehed ja naised",36900
"Vanuserühmad kokku","Järva maakond*","2004","Mehed ja naised",36180
"Vanuserühmad kokku","Lääne maakond","2004","Mehed ja naised",27670
"Vanuserühmad kokku","Lääne-Viru maakond*","2004","Mehed ja naised",68620
"Vanuserühmad kokku","Põlva maakond","2004","Mehed ja naised",30950
"Vanuserühmad kokku","Pärnu maakond","2004","Mehed ja naised",90090
"Vanuserühmad kokku","Rapla maakond","2004","Mehed ja naised",37460
"Vanuserühmad kokku","Saare maakond","2004","Mehed ja naised",34340
"Vanuserühmad kokku","Tartu maakond","2004","Mehed ja naised",156600
"Vanuserühmad kokku","..Tartu linn","2004","Mehed ja naised",NA
"Vanuserühmad kokku","Valga maakond","2004","Mehed ja naised",34330
"Vanuserühmad kokku","Viljandi maakond","2004","Mehed ja naised",55930
"Vanuserühmad kokku","Võru maakond","2004","Mehed ja naised",38300
"Vanuserühmad kokku","Maakond teadmata","2004","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2005","Mehed ja naised",1358850
"Vanuserühmad kokku","Harju maakond","2005","Mehed ja naised",540730
"Vanuserühmad kokku","..Tallinn","2005","Mehed ja naised",400500
"Vanuserühmad kokku","Hiiu maakond","2005","Mehed ja naised",9370
"Vanuserühmad kokku","Ida-Viru maakond","2005","Mehed ja naised",170090
"Vanuserühmad kokku","Jõgeva maakond","2005","Mehed ja naised",36130
"Vanuserühmad kokku","Järva maakond*","2005","Mehed ja naised",35440
"Vanuserühmad kokku","Lääne maakond","2005","Mehed ja naised",27230
"Vanuserühmad kokku","Lääne-Viru maakond*","2005","Mehed ja naised",67420
"Vanuserühmad kokku","Põlva maakond","2005","Mehed ja naised",30450
"Vanuserühmad kokku","Pärnu maakond","2005","Mehed ja naised",89320
"Vanuserühmad kokku","Rapla maakond","2005","Mehed ja naised",37020
"Vanuserühmad kokku","Saare maakond","2005","Mehed ja naised",33820
"Vanuserühmad kokku","Tartu maakond","2005","Mehed ja naised",155590
"Vanuserühmad kokku","..Tartu linn","2005","Mehed ja naised",NA
"Vanuserühmad kokku","Valga maakond","2005","Mehed ja naised",33850
"Vanuserühmad kokku","Viljandi maakond","2005","Mehed ja naised",54880
"Vanuserühmad kokku","Võru maakond","2005","Mehed ja naised",37510
"Vanuserühmad kokku","Maakond teadmata","2005","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2006","Mehed ja naised",1350700
"Vanuserühmad kokku","Harju maakond","2006","Mehed ja naised",542030
"Vanuserühmad kokku","..Tallinn","2006","Mehed ja naised",398380
"Vanuserühmad kokku","Hiiu maakond","2006","Mehed ja naised",9260
"Vanuserühmad kokku","Ida-Viru maakond","2006","Mehed ja naised",167970
"Vanuserühmad kokku","Jõgeva maakond","2006","Mehed ja naised",35460
"Vanuserühmad kokku","Järva maakond*","2006","Mehed ja naised",34840
"Vanuserühmad kokku","Lääne maakond","2006","Mehed ja naised",26830
"Vanuserühmad kokku","Lääne-Viru maakond*","2006","Mehed ja naised",66490
"Vanuserühmad kokku","Põlva maakond","2006","Mehed ja naised",30050
"Vanuserühmad kokku","Pärnu maakond","2006","Mehed ja naised",88760
"Vanuserühmad kokku","Rapla maakond","2006","Mehed ja naised",36750
"Vanuserühmad kokku","Saare maakond","2006","Mehed ja naised",33520
"Vanuserühmad kokku","Tartu maakond","2006","Mehed ja naised",154120
"Vanuserühmad kokku","..Tartu linn","2006","Mehed ja naised",NA
"Vanuserühmad kokku","Valga maakond","2006","Mehed ja naised",33520
"Vanuserühmad kokku","Viljandi maakond","2006","Mehed ja naised",54000
"Vanuserühmad kokku","Võru maakond","2006","Mehed ja naised",37100
"Vanuserühmad kokku","Maakond teadmata","2006","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2007","Mehed ja naised",1342920
"Vanuserühmad kokku","Harju maakond","2007","Mehed ja naised",544170
"Vanuserühmad kokku","..Tallinn","2007","Mehed ja naised",396770
"Vanuserühmad kokku","Hiiu maakond","2007","Mehed ja naised",9160
"Vanuserühmad kokku","Ida-Viru maakond","2007","Mehed ja naised",165540
"Vanuserühmad kokku","Jõgeva maakond","2007","Mehed ja naised",34820
"Vanuserühmad kokku","Järva maakond*","2007","Mehed ja naised",34200
"Vanuserühmad kokku","Lääne maakond","2007","Mehed ja naised",26420
"Vanuserühmad kokku","Lääne-Viru maakond*","2007","Mehed ja naised",65520
"Vanuserühmad kokku","Põlva maakond","2007","Mehed ja naised",29660
"Vanuserühmad kokku","Pärnu maakond","2007","Mehed ja naised",88120
"Vanuserühmad kokku","Rapla maakond","2007","Mehed ja naised",36590
"Vanuserühmad kokku","Saare maakond","2007","Mehed ja naised",33150
"Vanuserühmad kokku","Tartu maakond","2007","Mehed ja naised",153040
"Vanuserühmad kokku","..Tartu linn","2007","Mehed ja naised",NA
"Vanuserühmad kokku","Valga maakond","2007","Mehed ja naised",33050
"Vanuserühmad kokku","Viljandi maakond","2007","Mehed ja naised",52880
"Vanuserühmad kokku","Võru maakond","2007","Mehed ja naised",36600
"Vanuserühmad kokku","Maakond teadmata","2007","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2008","Mehed ja naised",1338440
"Vanuserühmad kokku","Harju maakond","2008","Mehed ja naised",547840
"Vanuserühmad kokku","..Tallinn","2008","Mehed ja naised",396800
"Vanuserühmad kokku","Hiiu maakond","2008","Mehed ja naised",8990
"Vanuserühmad kokku","Ida-Viru maakond","2008","Mehed ja naised",163050
"Vanuserühmad kokku","Jõgeva maakond","2008","Mehed ja naised",34120
"Vanuserühmad kokku","Järva maakond*","2008","Mehed ja naised",33570
"Vanuserühmad kokku","Lääne maakond","2008","Mehed ja naised",26020
"Vanuserühmad kokku","Lääne-Viru maakond*","2008","Mehed ja naised",64640
"Vanuserühmad kokku","Põlva maakond","2008","Mehed ja naised",29180
"Vanuserühmad kokku","Pärnu maakond","2008","Mehed ja naised",87790
"Vanuserühmad kokku","Rapla maakond","2008","Mehed ja naised",36450
"Vanuserühmad kokku","Saare maakond","2008","Mehed ja naised",32800
"Vanuserühmad kokku","Tartu maakond","2008","Mehed ja naised",153310
"Vanuserühmad kokku","..Tartu linn","2008","Mehed ja naised",NA
"Vanuserühmad kokku","Valga maakond","2008","Mehed ja naised",32550
"Vanuserühmad kokku","Viljandi maakond","2008","Mehed ja naised",52090
"Vanuserühmad kokku","Võru maakond","2008","Mehed ja naised",36040
"Vanuserühmad kokku","Maakond teadmata","2008","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2009","Mehed ja naised",1335740
"Vanuserühmad kokku","Harju maakond","2009","Mehed ja naised",552060
"Vanuserühmad kokku","..Tallinn","2009","Mehed ja naised",397400
"Vanuserühmad kokku","Hiiu maakond","2009","Mehed ja naised",8980
"Vanuserühmad kokku","Ida-Viru maakond","2009","Mehed ja naised",160840
"Vanuserühmad kokku","Jõgeva maakond","2009","Mehed ja naised",33600
"Vanuserühmad kokku","Järva maakond*","2009","Mehed ja naised",33050
"Vanuserühmad kokku","Lääne maakond","2009","Mehed ja naised",25700
"Vanuserühmad kokku","Lääne-Viru maakond*","2009","Mehed ja naised",63910
"Vanuserühmad kokku","Põlva maakond","2009","Mehed ja naised",28980
"Vanuserühmad kokku","Pärnu maakond","2009","Mehed ja naised",87220
"Vanuserühmad kokku","Rapla maakond","2009","Mehed ja naised",36340
"Vanuserühmad kokku","Saare maakond","2009","Mehed ja naised",32540
"Vanuserühmad kokku","Tartu maakond","2009","Mehed ja naised",153520
"Vanuserühmad kokku","..Tartu linn","2009","Mehed ja naised",NA
"Vanuserühmad kokku","Valga maakond","2009","Mehed ja naised",32180
"Vanuserühmad kokku","Viljandi maakond","2009","Mehed ja naised",51180
"Vanuserühmad kokku","Võru maakond","2009","Mehed ja naised",35640
"Vanuserühmad kokku","Maakond teadmata","2009","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2010","Mehed ja naised",1333290
"Vanuserühmad kokku","Harju maakond","2010","Mehed ja naised",556650
"Vanuserühmad kokku","..Tallinn","2010","Mehed ja naised",398500
"Vanuserühmad kokku","Hiiu maakond","2010","Mehed ja naised",8850
"Vanuserühmad kokku","Ida-Viru maakond","2010","Mehed ja naised",158800
"Vanuserühmad kokku","Jõgeva maakond","2010","Mehed ja naised",33040
"Vanuserühmad kokku","Järva maakond*","2010","Mehed ja naised",32490
"Vanuserühmad kokku","Lääne maakond","2010","Mehed ja naised",25510
"Vanuserühmad kokku","Lääne-Viru maakond*","2010","Mehed ja naised",63230
"Vanuserühmad kokku","Põlva maakond","2010","Mehed ja naised",28650
"Vanuserühmad kokku","Pärnu maakond","2010","Mehed ja naised",86590
"Vanuserühmad kokku","Rapla maakond","2010","Mehed ja naised",36070
"Vanuserühmad kokku","Saare maakond","2010","Mehed ja naised",32280
"Vanuserühmad kokku","Tartu maakond","2010","Mehed ja naised",153780
"Vanuserühmad kokku","..Tartu linn","2010","Mehed ja naised",NA
"Vanuserühmad kokku","Valga maakond","2010","Mehed ja naised",31930
"Vanuserühmad kokku","Viljandi maakond","2010","Mehed ja naised",50360
"Vanuserühmad kokku","Võru maakond","2010","Mehed ja naised",35060
