"Tegevusala..EMTAK.2008.","Maakond","Aasta","value"
"Tegevusalad kokku","Hiiu maakond","2006",603
"Tegevusalad kokku","Ida-Viru maakond","2006",3867
"Tegevusalad kokku","Jõgeva maakond","2006",1496
"Tegevusalad kokku","Järva maakond","2006",1281
"Tegevusalad kokku","Lääne maakond","2006",1302
"Tegevusalad kokku","Lääne-Viru maakond","2006",2818
"Tegevusalad kokku","Põlva maakond","2006",1200
"Tegevusalad kokku","Pärnu maakond","2006",4733
"Tegevusalad kokku","Rapla maakond","2006",1650
"Tegevusalad kokku","Saare maakond","2006",1950
"Tegevusalad kokku","Tartu maakond","2006",7263
"Tegevusalad kokku","Valga maakond","2006",1292
"Tegevusalad kokku","Viljandi maakond","2006",2249
"Tegevusalad kokku","Võru maakond","2006",1506
"Tegevusalad kokku","Kogu Eesti","2007",76159
"Tegevusalad kokku","Harju maakond","2007",40822
"Tegevusalad kokku","..Tallinn","2007",33373
"Tegevusalad kokku","Hiiu maakond","2007",641
"Tegevusalad kokku","Ida-Viru maakond","2007",4197
"Tegevusalad kokku","Jõgeva maakond","2007",1503
"Tegevusalad kokku","Järva maakond","2007",1355
"Tegevusalad kokku","Lääne maakond","2007",1353
"Tegevusalad kokku","Lääne-Viru maakond","2007",2973
"Tegevusalad kokku","Põlva maakond","2007",1235
"Tegevusalad kokku","Pärnu maakond","2007",4996
"Tegevusalad kokku","Rapla maakond","2007",1792
"Tegevusalad kokku","Saare maakond","2007",1997
"Tegevusalad kokku","Tartu maakond","2007",7985
"Tegevusalad kokku","Valga maakond","2007",1297
"Tegevusalad kokku","Viljandi maakond","2007",2382
"Tegevusalad kokku","Võru maakond","2007",1631
"Tegevusalad kokku","Kogu Eesti","2008",77948
"Tegevusalad kokku","Harju maakond","2008",42013
"Tegevusalad kokku","..Tallinn","2008",34049
"Tegevusalad kokku","Hiiu maakond","2008",655
"Tegevusalad kokku","Ida-Viru maakond","2008",4320
"Tegevusalad kokku","Jõgeva maakond","2008",1488
"Tegevusalad kokku","Järva maakond","2008",1420
"Tegevusalad kokku","Lääne maakond","2008",1374
"Tegevusalad kokku","Lääne-Viru maakond","2008",3054
"Tegevusalad kokku","Põlva maakond","2008",1251
"Tegevusalad kokku","Pärnu maakond","2008",4991
"Tegevusalad kokku","Rapla maakond","2008",1845
"Tegevusalad kokku","Saare maakond","2008",2016
"Tegevusalad kokku","Tartu maakond","2008",8130
"Tegevusalad kokku","Valga maakond","2008",1301
"Tegevusalad kokku","Viljandi maakond","2008",2419
"Tegevusalad kokku","Võru maakond","2008",1671
"Tegevusalad kokku","Kogu Eesti","2009",81909
"Tegevusalad kokku","Harju maakond","2009",44549
"Tegevusalad kokku","..Tallinn","2009",35894
"Tegevusalad kokku","Hiiu maakond","2009",648
"Tegevusalad kokku","Ida-Viru maakond","2009",4589
"Tegevusalad kokku","Jõgeva maakond","2009",1541
"Tegevusalad kokku","Järva maakond","2009",1435
"Tegevusalad kokku","Lääne maakond","2009",1456
"Tegevusalad kokku","Lääne-Viru maakond","2009",3134
"Tegevusalad kokku","Põlva maakond","2009",1333
"Tegevusalad kokku","Pärnu maakond","2009",5073
"Tegevusalad kokku","Rapla maakond","2009",1927
"Tegevusalad kokku","Saare maakond","2009",2067
"Tegevusalad kokku","Tartu maakond","2009",8573
"Tegevusalad kokku","Valga maakond","2009",1385
"Tegevusalad kokku","Viljandi maakond","2009",2467
"Tegevusalad kokku","Võru maakond","2009",1732
"Tegevusalad kokku","Kogu Eesti","2010",100216
"Tegevusalad kokku","Harju maakond","2010",51679
"Tegevusalad kokku","..Tallinn","2010",41020
