idnum,asutus.2014,struktuuriuksus.2014,allstruktuuriuksus.2014,ametikoht.2014,koormus.2014,põhipalk.2014,asutus.2015,struktuuriuksus.2015,allstruktuuriuksus.2015,ametikoht.2015,koormus.2015,põhipalk.2015
1,Andmekaitse Inspektsioon,Andmekaitse Inspektsioon,NA,peadirektor,1.0,3100,Andmekaitse Inspektsioon,NA,NA,peadirektor,1.0,3300
2,Andmekaitse Inspektsioon,Arendusdirektori valdkond,NA,arendusdirektor,1.0,2260,Andmekaitse Inspektsioon,Arendusdirektori valdkond,NA,arendusdirektor,1.0,2328
3,Andmekaitse Inspektsioon,Arendusdirektori valdkond,NA,arendusdirektor,1.0,2260,Valisministeerium,SISEAUDITIOSAKOND,NA,siseaudiitor,1.0,1723
4,Andmekaitse Inspektsioon,Jarelevalve valdkond,NA,jarelevalvedirektor,1.0,2260,Andmekaitse Inspektsioon,Jarelevalve valdkond,NA,jarelevalvedirektor,1.0,2328
5,Andmekaitse Inspektsioon,Andmekaitse Inspektsioon,NA,õigusnõunik,1.0,2260,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,peainspektor,1.0,2000
6,Andmekaitse Inspektsioon,Uldosakond,NA,IT-nõunik,1.0,2000,Andmekaitse Inspektsioon,Uldosakond,NA,IT-nõunik,1.0,2328
7,Andmekaitse Inspektsioon,Uldosakond,NA,nõunik,1.0,1350,NA,NA,NA,NA,NA,NA
8,Andmekaitse Inspektsioon,Uldosakond,NA,andmeturbeekspert,1.0,1200,NA,NA,NA,NA,NA,NA
9,Andmekaitse Inspektsioon,Uldosakond,NA,andmeturbeekspert,1.0,1406,Andmekaitse Inspektsioon,Uldosakond,NA,andmeturbeekspert,1.0,1500
10,Andmekaitse Inspektsioon,Uldosakond,NA,vanemspetsialist,1.0,1200,Andmekaitse Inspektsioon,Uldosakond,NA,vanemspetsialist,1.0,1236
11,Andmekaitse Inspektsioon,Uldosakond,NA,vanemspetsialist,1.0,1100,Andmekaitse Inspektsioon,Uldosakond,NA,vanemspetsialist,1.0,1133
12,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,peainspektor,1.0,1800,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,peainspektor,1.0,2000
13,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,juhtivinspektor,1.0,1600,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,juhtivinspektor,1.0,1700
14,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1350,NA,NA,NA,NA,NA,NA
15,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1350,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1391
16,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1350,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1391
17,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1253,NA,NA,NA,NA,NA,NA
18,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1253,Andmekaitse Inspektsioon,Jarelevalveosakond,NA,vaneminspektor,1.0,1391
19,Haridus- ja Teadusministeerium,NA,NA,minister,1.0,4420,Haridus- ja Teadusministeerium,Haridus- ja Teadusministeerium,NA,minister,1.0,4504
20,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,juhataja,1.0,2450,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,juhataja,1.0,2650
21,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,asejuhataja,1.0,1875,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,asejuhataja,1.0,1980
22,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,auditijuht,1.0,1560,Põllumajandusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1500
23,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,auditijuht,1.0,1625,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,auditijuht,1.0,1725
24,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,auditijuht,1.0,1515,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,auditijuht,1.0,1610
25,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1405,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1530
26,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1425,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1550
27,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1405,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1520
28,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1357,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1480
29,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1357,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,1.0,1480
30,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,0.8,1140,Haridus- ja Teadusministeerium,Siseauditi osakond,NA,siseaudiitor,0.8,1240
31,Haridus- ja Teadusministeerium,Kantsleri vastutusvaldkond,NA,kantsler,1.0,3978,Haridus- ja Teadusministeerium,Kantsleri vastutusvaldkond,NA,kantsler,1.0,4054
32,Haridus- ja Teadusministeerium,Kantsleri vastutusvaldkond,NA,haridusseadustiku juht,1.0,2400,Haridus- ja Teadusministeerium,Kantsleri vastutusvaldkond,NA,haridusseadustiku juht,1.0,2600
33,Haridus- ja Teadusministeerium,Kantsleri vastutusvaldkond,NA,nõunik,1.0,2300,Haridus- ja Teadusministeerium,Kantsleri vastutusvaldkond,NA,nõunik,1.0,2400
34,Haridus- ja Teadusministeerium,Kommunikatsiooniosakond,NA,juhataja,1.0,2450,Haridus- ja Teadusministeerium,Kommunikatsiooniosakond,NA,juhataja,1.0,2650
35,Haridus- ja Teadusministeerium,Kommunikatsiooniosakond,NA,asejuhataja,1.0,1800,Haridus- ja Teadusministeerium,Kommunikatsiooniosakond,NA,asejuhataja,1.0,1900
36,Haridus- ja Teadusministeerium,oigusosakond,NA,juhataja,1.0,2450,Haridus- ja Teadusministeerium,oigusosakond,NA,juhataja,1.0,2650
37,Haridus- ja Teadusministeerium,oigusosakond,NA,jurist (alus- ja uldharidus),1.0,1600,Haridus- ja Teadusministeerium,oigusosakond,NA,jurist (alus- ja uldharidus),1.0,1700
38,Haridus- ja Teadusministeerium,oigusosakond,NA,"jurist (teadus, keel, arhiivindus)",1.0,1150,NA,NA,NA,NA,NA,NA
39,Haridus- ja Teadusministeerium,oigusosakond,NA,"jurist (kutse- ja taisk.har., kutsesust.",1.0,1500,Haridus- ja Teadusministeerium,oigusosakond,NA,"jurist (kutse- ja taisk.har.,kutsesust",1.0,1700
40,Haridus- ja Teadusministeerium,oigusosakond,NA,"jurist (kõrgh., õppetoetus, õppelaen)",1.0,1500,Haridus- ja Teadusministeerium,oigusosakond,NA,"jurist (kõrgharidus, õppetoetus)",1.0,1700
41,Haridus- ja Teadusministeerium,oigusosakond,NA,"jurist  (huvih, noorsootoo, õppelaenud)",1.0,1400,Haridus- ja Teadusministeerium,oigusosakond,NA,"jurist (huviharidus, noorsootoo, keel, õ",1.0,1700
42,Haridus- ja Teadusministeerium,Planeerimise asekantsleri vastutusvaldkond,NA,Planeerimise asekantsler,1.0,3200,Haridus- ja Teadusministeerium,Planeerimise asekantsleri vastutusvaldk,NA,planeerimise asekantsler,1.0,3400
43,Haridus- ja Teadusministeerium,Planeerimise asekantsleri vastutusvaldkond,NA,nõunik,1.0,2200,Haridus- ja Teadusministeerium,Planeerimise asekantsleri vastutusvaldk,NA,nõunik,1.0,2300
44,Haridus- ja Teadusministeerium,Rahandusosakond,NA,juhataja,1.0,2600,Haridus- ja Teadusministeerium,Rahandusosakond,NA,juhataja,1.0,2800
45,Haridus- ja Teadusministeerium,Rahandusosakond,NA,asejuhataja (planeerimine),1.0,1680,Haridus- ja Teadusministeerium,Rahandusosakond,NA,asejuhataja (planeerimine),1.0,1780
46,Haridus- ja Teadusministeerium,Rahandusosakond,NA,analuutik,1.0,1000,Haridus- ja Teadusministeerium,Rahandusosakond,NA,analuutik,1.0,1300
47,Haridus- ja Teadusministeerium,Rahandusosakond,NA,peaekspert,1.0,1300,Haridus- ja Teadusministeerium,Rahandusosakond,NA,peaekspert,1.0,1550
48,Haridus- ja Teadusministeerium,Rahandusosakond,NA,peaekspert,1.0,1300,Haridus- ja Teadusministeerium,Rahandusosakond,NA,peaekspert,1.0,1450
49,Haridus- ja Teadusministeerium,Rahandusosakond,NA,finantsekspert,1.0,1300,Haridus- ja Teadusministeerium,Rahandusosakond,NA,finantsekspert,1.0,1550
50,Haridus- ja Teadusministeerium,Rahandusosakond,NA,finantsekspert,1.0,1400,Haridus- ja Teadusministeerium,Rahandusosakond,NA,finantsekspert,1.0,1550
51,Haridus- ja Teadusministeerium,Analuusiosakond,NA,juhataja,1.0,2600,NA,NA,NA,NA,NA,NA
52,Haridus- ja Teadusministeerium,Analuusiosakond,NA,asejuhataja,1.0,1700,NA,NA,NA,NA,NA,NA
53,Haridus- ja Teadusministeerium,Analuusiosakond,NA,nõunik,0.9,1152,Haridus- ja Teadusministeerium,Analuusiosakond,NA,nõunik,0.9,1240
54,Haridus- ja Teadusministeerium,Analuusiosakond,NA,analuutik,1.0,1150,Haridus- ja Teadusministeerium,Analuusiosakond,NA,analuutik,1.0,1200
55,Haridus- ja Teadusministeerium,Analuusiosakond,NA,analuutik,1.0,1300,Haridus- ja Teadusministeerium,Analuusiosakond,NA,analuutik,1.0,1400
56,Haridus- ja Teadusministeerium,Analuusiosakond,NA,analuutik,1.0,1500,Haridus- ja Teadusministeerium,Analuusiosakond,NA,analuutik,1.0,1650
57,Haridus- ja Teadusministeerium,Analuusiosakond,NA,analuutik,1.0,1300,Haridus- ja Teadusministeerium,Analuusiosakond,NA,analuutik,1.0,1400
58,Haridus- ja Teadusministeerium,Analuusiosakond,NA,peaanaluutik,1.0,1500,Haridus- ja Teadusministeerium,Analuusiosakond,NA,peaanaluutik,1.0,1650
59,Haridus- ja Teadusministeerium,Riigivaraosakond,NA,juhataja,1.0,2450,Haridus- ja Teadusministeerium,Riigivaraosakond,NA,juhataja,1.0,2650
60,Haridus- ja Teadusministeerium,Riigivaraosakond,NA,asejuhataja,1.0,1820,Haridus- ja Teadusministeerium,Riigivaraosakond,NA,asejuhataja,1.0,2000
61,Haridus- ja Teadusministeerium,Riigivaraosakond,NA,kinnisvaraanaluutik,1.0,1300,Haridus- ja Teadusministeerium,Riigivaraosakond,NA,kinnisvaraanaluutik,1.0,1415
62,Haridus- ja Teadusministeerium,Tõukefondide osakond,NA,juhataja,1.0,2450,Haridus- ja Teadusministeerium,Tõukefondide osakond,NA,juhataja,1.0,2650
63,Haridus- ja Teadusministeerium,Tõukefondide osakond,NA,nõunik,0.8,1650,Haridus- ja Teadusministeerium,E-teenuste osakond,NA,juhataja,1.0,2650
64,Haridus- ja Teadusministeerium,Tõukefondide osakond,NA,rakendusjuht,1.0,1600,Haridus- ja Teadusministeerium,Tõukefondide osakond,NA,rakendusjuht,1.0,1850
65,Haridus- ja Teadusministeerium,Tõukefondide osakond,NA,jarelevalvekoordinaator,1.0,1200,Haridus- ja Teadusministeerium,Tõukefondide osakond,NA,jarelevalvekoordinaator,1.0,1300
66,Haridus- ja Teadusministeerium,Tõukefondide osakond,NA,peaekspert,1.0,1300,Haridus- ja Teadusministeerium,Tõukefondide osakond,NA,peaekspert,1.0,1450
67,Haridus- ja Teadusministeerium,Tõukefondide osakond,NA,peaekspert,1.0,1200,Haridus- ja Teadusministeerium,Tõukefondide osakond,NA,peaekspert,1.0,1350
68,Haridus- ja Teadusministeerium,Tõukefondide osakond,NA,peaekspert,1.0,1300,NA,NA,NA,NA,NA,NA
69,Haridus- ja Teadusministeerium,Tõukefondide osakond,NA,peaekspert,1.0,1250,Haridus- ja Teadusministeerium,Tõukefondide osakond,NA,peaekspert,1.0,1450
70,Haridus- ja Teadusministeerium,Uld- ja kutsehariduse asekantsleri vastutusvaldkond,NA,uld- ja kutsehariduse asekantsler,1.0,3200,Haridus- ja Teadusministeerium,Uld- ja kutsehariduse asekantsleri vv,NA,uld- ja kutsehariduse asekantsler,1.0,3400
71,Haridus- ja Teadusministeerium,Uld- ja kutsehariduse asekantsleri vastutusvaldkond,NA,nõunik,1.0,1900,Haridus- ja Teadusministeerium,Valishindamisosakond,NA,juhataja,1.0,2650
72,Haridus- ja Teadusministeerium,Uld- ja kutsehariduse asekantsleri vastutusvaldkond,NA,nõunik (loodus- ja tappist. harid. valdk),1.0,1700,Haridus- ja Teadusministeerium,Uld- ja kutsehariduse asekantsleri vv,NA,nõunik (loodus- ja tappist. harid. valdk,1.0,1850
73,Haridus- ja Teadusministeerium,Valishindamisosakond,NA,juhataja,1.0,2450,NA,NA,NA,NA,NA,NA
74,Haridus- ja Teadusministeerium,Valishindamisosakond,NA,asejuhataja,1.0,1740,Haridus- ja Teadusministeerium,Valishindamisosakond,NA,asejuhataja,1.0,1950
75,Haridus- ja Teadusministeerium,Valishindamisosakond,NA,nõunik,1.0,1650,Haridus- ja Teadusministeerium,Valishindamisosakond,NA,nõunik,1.0,1780
76,Haridus- ja Teadusministeerium,Valishindamisosakond,NA,peaekspert,1.0,1285,Haridus- ja Teadusministeerium,Valishindamisosakond,NA,peaekspert,1.0,1465
77,Haridus- ja Teadusministeerium,Valishindamisosakond,NA,peaekspert,1.0,1435,Haridus- ja Teadusministeerium,Valishindamisosakond,NA,peaekspert,1.0,1565
78,Haridus- ja Teadusministeerium,Valishindamisosakond,NA,peaekspert,1.0,1330,Haridus- ja Teadusministeerium,Koolivõrgu osakond,NA,peaekspert,1.0,1550
79,Haridus- ja Teadusministeerium,Valishindamisosakond,NA,peaekspert,1.0,1330,Haridus- ja Teadusministeerium,Valishindamisosakond,NA,peaekspert,1.0,1465
80,Haridus- ja Teadusministeerium,Valishindamisosakond,NA,peaekspert,1.0,1330,Haridus- ja Teadusministeerium,Valishindamisosakond,NA,peaekspert,1.0,1465
81,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,juhataja,1.0,2500,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,juhataja,1.0,2650
82,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,asejuhataja (õppekava),1.0,1950,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,asejuhataja (õppekava),1.0,2068
83,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,nõunik,1.0,1700,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,nõunik,1.0,1800
84,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,peaekspert,1.0,1300,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,peaekspert,1.0,1500
85,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,peaekspert,1.0,1300,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,peaekspert,1.0,1500
86,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,peaekspert,0.75,975,NA,NA,NA,NA,NA,NA
87,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,peaekspert,1.0,1400,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,peaekspert,1.0,1700
88,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,peaekspert,1.0,1500,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,peaekspert,1.0,1600
89,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,peaekspert,1.0,1362,Haridus- ja Teadusministeerium,Uldharidusosakond,NA,peaekspert,1.0,1500
90,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,juhataja,1.0,2500,NA,NA,NA,NA,NA,NA
91,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,asejuhataja (kutseharidus),1.0,1950,NA,NA,NA,NA,NA,NA
92,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,asejuhataja (kutseõppeasutused),1.0,1950,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,asejuhataja,1.0,2186
93,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,nõunik,1.0,1590,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,nõunik,1.0,1750
94,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,peaekspert,1.0,1100,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,peaekspert,1.0,1460
95,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,peaekspert,1.0,1360,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,peaekspert,1.0,1610
96,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,peaekspert,1.0,1300,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,peaekspert,1.0,1460
97,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,peaekspert,1.0,1460,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,nõunik,1.0,1980
98,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,peaekspert,1.0,1300,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,peaekspert,1.0,1460
99,Haridus- ja Teadusministeerium,Taiskasvanuhariduse osakond,NA,juhataja,1.0,2450,Haridus- ja Teadusministeerium,Taiskasvanuhariduse osakond,NA,juhataja,1.0,2650
100,Haridus- ja Teadusministeerium,Taiskasvanuhariduse osakond,NA,asejuhataja,1.0,1900,Haridus- ja Teadusministeerium,Taiskasvanuhariduse osakond,NA,asejuhataja,1.0,2100
101,Haridus- ja Teadusministeerium,Taiskasvanuhariduse osakond,NA,peaekspert,1.0,1325,Haridus- ja Teadusministeerium,Taiskasvanuhariduse osakond,NA,peaekspert,1.0,1475
102,Haridus- ja Teadusministeerium,Taiskasvanuhariduse osakond,NA,peaekspert,1.0,1325,Haridus- ja Teadusministeerium,Taiskasvanuhariduse osakond,NA,peaekspert,1.0,1475
103,Haridus- ja Teadusministeerium,opetajaosakond,NA,juhataja,1.0,2450,Haridus- ja Teadusministeerium,opetajaosakond,NA,juhataja,1.0,2650
104,Haridus- ja Teadusministeerium,opetajaosakond,NA,asejuhataja,1.0,1900,Haridus- ja Teadusministeerium,opetajaosakond,NA,asejuhataja,1.0,2065
105,Haridus- ja Teadusministeerium,Kõrghariduse ja teaduse asekantsleri vastutusvaldkond,NA,kõrghariduse ja teaduse asekantsler,1.0,3200,Haridus- ja Teadusministeerium,Kõrghariduse ja teaduse asekantsleri vv,NA,kõrghariduse ja teaduse asekantsler,1.0,3400
106,Haridus- ja Teadusministeerium,Kõrghariduse ja teaduse asekantsleri vastutusvaldkond,NA,nõunik,1.0,2100,Haridus- ja Teadusministeerium,Kõrghariduse ja teaduse asekantsleri vv,NA,nõunik,1.0,2300
107,Haridus- ja Teadusministeerium,Teadusosakond,NA,juhataja,1.0,2600,Haridus- ja Teadusministeerium,Teadusosakond,NA,juhataja,1.0,2800
108,Haridus- ja Teadusministeerium,Teadusosakond,NA,asejuhataja,1.0,2100,Haridus- ja Teadusministeerium,Teadusosakond,NA,asejuhataja,1.0,2373
109,Haridus- ja Teadusministeerium,Teadusosakond,NA,nõunik,1.0,1838,Haridus- ja Teadusministeerium,Teadusosakond,NA,nõunik,1.0,2000
110,Haridus- ja Teadusministeerium,Teadusosakond,NA,nõunik,1.0,1838,Haridus- ja Teadusministeerium,Teadusosakond,NA,nõunik,1.0,2000
111,Haridus- ja Teadusministeerium,Teadusosakond,NA,peaekspert,1.0,1400,Haridus- ja Teadusministeerium,Teadusosakond,NA,peaekspert,1.0,1600
112,Haridus- ja Teadusministeerium,Teadusosakond,NA,peaekspert,1.0,1350,NA,NA,NA,NA,NA,NA
113,Haridus- ja Teadusministeerium,Teadusosakond,NA,peaekspert,1.0,1350,Haridus- ja Teadusministeerium,Teadusosakond,NA,peaekspert,1.0,1550
114,Haridus- ja Teadusministeerium,Teadusosakond,NA,peaekspert,1.0,1700,Haridus- ja Teadusministeerium,Teadusosakond,NA,peaekspert,1.0,2000
115,Haridus- ja Teadusministeerium,Teadusosakond,NA,peaekspert,1.0,1550,Haridus- ja Teadusministeerium,Teadusosakond,NA,peaekspert,1.0,1550
116,Haridus- ja Teadusministeerium,Kõrghariduse osakond,NA,juhataja,1.0,2600,Haridus- ja Teadusministeerium,Kutsehariduse osakond,NA,juhataja,1.0,2800
117,Haridus- ja Teadusministeerium,Kõrghariduse osakond,NA,asejuhataja,1.0,1850,NA,NA,NA,NA,NA,NA
118,Haridus- ja Teadusministeerium,Kõrghariduse osakond,NA,nõunik,1.0,1780,Haridus- ja Teadusministeerium,Kõrghariduse osakond,NA,nõunik,1.0,1900
119,Haridus- ja Teadusministeerium,Kõrghariduse osakond,NA,peaekspert,1.0,1400,Haridus- ja Teadusministeerium,Kõrghariduse osakond,NA,peaekspert,1.0,1575
120,Haridus- ja Teadusministeerium,Kõrghariduse osakond,NA,peaekspert,1.0,1400,Haridus- ja Teadusministeerium,Kõrghariduse osakond,NA,peaekspert,1.0,1575
121,Haridus- ja Teadusministeerium,Kõrghariduse osakond,NA,peaekspert,1.0,1400,Haridus- ja Teadusministeerium,Kõrghariduse osakond,NA,peaekspert,1.0,1575
122,Haridus- ja Teadusministeerium,Kõrghariduse osakond,NA,peaekspert,1.0,1480,Haridus- ja Teadusministeerium,Kõrghariduse osakond,NA,peaekspert,1.0,1600
123,Haridus- ja Teadusministeerium,Kõrghariduse osakond,NA,peaekspert,1.0,1300,Haridus- ja Teadusministeerium,Kõrghariduse osakond,NA,peaekspert,1.0,1500
124,Haridus- ja Teadusministeerium,Noorte ja valissuhete asekantsleri vastutusvaldkond,NA,noorte ja valissuhete asekantsler,1.0,3200,Haridus- ja Teadusministeerium,Noorte ja valissuhete asekantsleri vv,NA,noorte ja valissuhete asekantsler,1.0,3400
125,Haridus- ja Teadusministeerium,EL ja rahvusvahelise koostoo osakond,NA,juhataja,1.0,2450,Haridus- ja Teadusministeerium,EL ja rahvusvahelise koostoo osakond,NA,juhataja,1.0,2650
126,Haridus- ja Teadusministeerium,EL ja rahvusvahelise koostoo osakond,NA,asejuhataja,1.0,1900,Haridus- ja Teadusministeerium,Analuusiosakond,NA,asejuhataja,1.0,2150
127,Haridus- ja Teadusministeerium,EL ja rahvusvahelise koostoo osakond,NA,nõunik,1.0,1600,Haridus- ja Teadusministeerium,EL ja rahvusvahelise koostoo osakond,NA,nõunik,1.0,1750
128,Haridus- ja Teadusministeerium,EL ja rahvusvahelise koostoo osakond,NA,nõunik,1.0,1600,Haridus- ja Teadusministeerium,EL ja rahvusvahelise koostoo osakond,NA,nõunik,1.0,1750
129,Haridus- ja Teadusministeerium,EL ja rahvusvahelise koostoo osakond,NA,peaekspert,1.0,1320,NA,NA,NA,NA,NA,NA
130,Haridus- ja Teadusministeerium,EL ja rahvusvahelise koostoo osakond,NA,peaekspert,1.0,1300,Haridus- ja Teadusministeerium,EL ja rahvusvahelise koostoo osakond,NA,peaekspert,1.0,1520
131,Haridus- ja Teadusministeerium,EL ja rahvusvahelise koostoo osakond,NA,peaekspert,1.0,1300,Haridus- ja Teadusministeerium,EL ja rahvusvahelise koostoo osakond,NA,peaekspert,1.0,1520
132,Haridus- ja Teadusministeerium,AL juures Brusselis,NA,nõunik teaduskusimustes,1.0,1300,Haridus- ja Teadusministeerium,Teadusosakond,NA,peaekspert,1.0,1450
133,Haridus- ja Teadusministeerium,AL juures Brusselis,NA,nõunik haridus- ja noorsokusimustes,1.0,1300,Haridus- ja Teadusministeerium,EL ja rahvusvahelise koostoo osakond,NA,nõunik,1.0,1450
134,Haridus- ja Teadusministeerium,AL juures Pariisis,NA,nõunik OECD kusimustes,1.0,1300,Haridus- ja Teadusministeerium,Kõrghariduse ja teaduse asekantsleri vv,NA,nõunik,1.0,1450
135,Haridus- ja Teadusministeerium,Noorteosakond,NA,juhataja,1.0,2450,Haridus- ja Teadusministeerium,Noorteosakond,NA,juhataja,1.0,2650
136,Haridus- ja Teadusministeerium,Noorteosakond,NA,asejuhataja,1.0,1768,Haridus- ja Teadusministeerium,Noorteosakond,NA,asejuhataja,1.0,1832
137,Haridus- ja Teadusministeerium,Noorteosakond,NA,peaekspert,1.0,1475,NA,NA,NA,NA,NA,NA
138,Haridus- ja Teadusministeerium,Noorteosakond,NA,peaekspert,1.0,1475,Haridus- ja Teadusministeerium,Noorteosakond,NA,peaekspert,1.0,1675
139,Haridus- ja Teadusministeerium,Noorteosakond,NA,peaekspert,1.0,1475,Haridus- ja Teadusministeerium,Noorteosakond,NA,peaekspert,1.0,1675
140,Haridus- ja Teadusministeerium,Keeleosakond,NA,juhataja,1.0,2300,Haridus- ja Teadusministeerium,Keeleosakond,NA,juhataja,1.0,2650
141,Haridus- ja Teadusministeerium,Keeleosakond,NA,asejuhataja,1.0,1750,Haridus- ja Teadusministeerium,Asejuhataja vastutusvaldkond,NA,asejuhataja,1.0,2000
142,Haridus- ja Teadusministeerium,Keeleosakond,NA,nõunik,0.9,1305,Haridus- ja Teadusministeerium,Asejuhataja vastutusvaldkond,NA,nõunik,0.9,1450
143,Haridus- ja Teadusministeerium,Keeleosakond,NA,nõunik,1.0,1600,NA,NA,NA,NA,NA,NA
144,Haridus- ja Teadusministeerium,Keeleosakond,NA,peaekspert,1.0,1470,Haridus- ja Teadusministeerium,Asejuhataja vastutusvaldkond,NA,peaekspert,1.0,1582
145,Haridus- ja Teadusministeerium,Koolivõrgu juhi vastutusvaldkond,NA,koolivõrgu juht,1.0,3200,Haridus- ja Teadusministeerium,Koolivõrgu juhi vastutusvaldkond,NA,koolivõrgu juht,1.0,3400
146,Haridus- ja Teadusministeerium,Koolivõrgu juhi vastutusvaldkond,NA,nõunik,1.0,1800,Haridus- ja Teadusministeerium,Koolivõrgu juhi vastutusvaldkond,NA,nõunik,1.0,2000
147,Haridus- ja Teadusministeerium,Koolivõrgu osakond,NA,juhataja,1.0,2450,Haridus- ja Teadusministeerium,Koolivõrgu osakond,NA,juhataja,1.0,2650
148,Haridus- ja Teadusministeerium,Koolivõrgu osakond,NA,asejuhataja,1.0,1900,Haridus- ja Teadusministeerium,Koolivõrgu osakond,NA,asejuhataja,1.0,2150
149,Haridus- ja Teadusministeerium,Koolivõrgu osakond,NA,peaekspert,1.0,1400,Haridus- ja Teadusministeerium,Koolivõrgu osakond,NA,peaekspert,1.0,1650
150,Harju Maakohus,Harju Maakohus,NA,Kohtunik/Kohtu esimees,1.0,4225,Harju Maakohus,Kohtu esimehe juhtimisvaldkond,NA,kohtunik/kohtu esimees,1.0,4994
151,Harju Maakohus,Kohtudirektori vastutusala,NA,Kohtudirektor,1.0,2150,Harju Maakohus,Kohtudirektori juhtimisvaldkond,NA,kohtudirektor,1.0,3000
152,Harju Maakohus,Kohtudirektori vastutusala,NA,Kohtudirektor,1.0,2150,NA,NA,NA,NA,NA,NA
153,Harju Maakohus,Haldusosakond,NA,Kohtukordnik,1.0,695,Harju Maakohus,Turvatalitus,NA,kohtukordnik,1.0,925
154,Harju Maakohus,Haldusosakond,NA,Kohtukordnik,1.0,424,Harju Maakohus,Turvatalitus,NA,kohtukordnik,1.0,575
155,Harju Maakohus,Haldusosakond,NA,Kohtukordnik,1.0,397,Harju Maakohus,Turvatalitus,NA,kohtukordnik,1.0,575
156,Harju Maakohus,Haldusosakond,NA,Kohtukordnik,1.0,397,Harju Maakohus,Turvatalitus,NA,kohtukordnik,1.0,625
157,Harju Maakohus,Haldusosakond,NA,Kohtukordnik,1.0,415,Harju Maakohus,Turvatalitus,NA,kohtukordnik,1.0,575
