"sugu","vanus","vanus3","lapsed","emaharidus","isaharidus","kaaslane","staatus3","tervis","haridus","haridustase","sissetulek","meeldib_oppida","literacy","numeracy","psolvskills"
"Naine",38,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Väga hea","Kesk","Keskmine",644.475,"Mõningal määral",192.48,186.549,206.926
"Mees",19,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Väga hea","Põhi","Madal",NA,"Mõningal määral",309.811,302.923,313.827
"Naine",41,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Põhi","Madal",420.748,"Mõningal määral",208.374,237.748,241.639
"Mees",56,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Halb","Põhi","Madal",NA,"Üldse mitte",226.276,187.155,NA
"Mees",52,"50+","Jah","Põhi","Kõrg","Jah","Hõivatud","Hea","Kesk","Keskmine",NA,"Suurel määral",233.208,238.471,239.884
"Mees",49,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",486.539,"Suurel määral",296.05,284.342,267.725
"Mees",59,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",473.381,"Suurel määral",181.09,201.216,NA
"Mees",61,"50+","Jah","Põhi","Kõrg","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",295.745,"Üldse mitte",252.554,259.01,NA
"Mees",16,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Väga hea","Põhi","Madal",NA,"Suurel määral",321.771,279.871,296.909
"Naine",32,"25-49","Ei","Kõrg","Kesk","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",270.391,307.206,288.823
"Mees",56,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",NA,"Väga vähe",248.272,264.309,218.185
"Mees",47,"25-49","Jah","Põhi","Kõrg","Jah","Hõivatud","Hea","Kesk","Keskmine",1144.45,"Mõningal määral",282.063,331.542,269.172
"Naine",53,"50+","Jah","Kesk","Kõrg","Ei","Hõivatud","Suurepärane","Rakenduskõrg","Kõrge",NA,"Suurel määral",255.453,227.157,221.788
"Naine",25,"25-49","Ei","Kõrg","Kõrg",NA,"Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",281.19,240.055,277.548
"Mees",42,"25-49","Jah","Põhi","Kesk","Ei","Hõivatud","Suurepärane","Kesk","Keskmine",920,"Suurel määral",199.191,244.396,238.494
"Naine",37,"25-49","Jah","Kesk","Põhi","Jah","Töötu","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",282.839,292.526,282.646
"Mees",37,"25-49","Ei","Kõrg","Kesk","Ei","Hõivatud","Rahuldav","Kesk","Keskmine",NA,"Suurel määral",132.937,127.327,NA
"Mees",34,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Kesk-järgne kutse","Keskmine",1276.03,"Suurel määral",310.139,275.68,NA
"Naine",30,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",1028.66,"Suurel määral",324.029,322.496,329.251
"Mees",60,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",1078.66,"Suurel määral",295.508,278.954,255.639
"Naine",59,"50+","Jah","Põhi","Põhi","Ei","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",NA,"Mõningal määral",329.789,319.985,NA
"Mees",61,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Põhi","Madal",1100,"Suurel määral",239.025,271.825,NA
"Mees",20,"16-24","Ei","Kesk","Kesk","Ei","Hõivatud","Väga hea","Kesk","Keskmine",486.539,"Mõningal määral",248.314,290.93,258.764
"Naine",35,"25-49","Jah",NA,NA,"Jah","Hõivatud","Rahuldav","Põhi","Madal",NA,"Mõningal määral",262.229,238.191,NA
"Mees",63,"50+","Jah","Kesk","Kesk","Jah","Mitteaktiivne","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",313.138,334.911,314.275
"Mees",17,"16-24","Ei",NA,"Kesk","Ei","Mitteaktiivne","Hea","Põhi","Madal",NA,"Mõningal määral",253.213,191.246,238.165
"Mees",41,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Kesk","Keskmine",789.179,"Mõningal määral",293.996,289.832,258.643
"Naine",36,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Suurepärane","Kesk","Keskmine",1012.87,"Mõningal määral",280.98,279.855,246.687
"Mees",34,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",1670.78,"Suurel määral",238.292,284.126,292.463
"Naine",28,"25-49","Ei","Kõrg","Kõrg",NA,"Hõivatud","Hea","Akadeemiline kõrg","Kõrge",1802.36,"Väga suurel määral",284.872,310.719,288.621
"Naine",51,"50+","Jah","Põhi","Põhi","Ei","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",381.273,"Suurel määral",262.637,258.845,NA
"Mees",25,"25-49","Ei","Kõrg",NA,"Jah","Hõivatud","Suurepärane","Põhi","Madal",NA,"Väga suurel määral",328.841,312.136,307.29
"Mees",31,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",552.33,"Suurel määral",317.548,335.978,327.6
"Mees",52,"50+","Jah","Põhi","Põhi",NA,"Mitteaktiivne","Rahuldav","Põhi","Madal",NA,"Mõningal määral",139.643,121.761,NA
"Mees",43,"25-49","Jah","Kõrg","Kesk","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Üldse mitte",238.266,253.261,NA
"Naine",49,"25-49","Jah","Kesk","Kõrg","Jah","Hõivatud","Hea","Kesk-järgne kutse","Keskmine",447.064,"Suurel määral",228.815,283.838,268.781
"Mees",52,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",NA,"Väga suurel määral",305.928,337.057,296.077
"Mees",50,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Väga hea","Kesk","Keskmine",NA,"Suurel määral",334.885,297.382,280.327
"Naine",41,"25-49","Jah","Põhi","Põhi","Ei","Töötu","Hea","Põhi","Madal",NA,"Mõningal määral",177.698,153.232,201.568
"Mees",55,"50+","Ei","Kesk","Kesk","Jah","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",947.078,"Mõningal määral",300.416,324.466,289.293
"Mees",64,"50+","Jah","Põhi",NA,"Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",266.489,255.016,NA
"Mees",20,"16-24","Ei","Kesk","Kõrg","Ei","Töötu","Väga hea","Kesk","Keskmine",NA,"Suurel määral",234.327,221.347,252.787
"Mees",26,"25-49","Ei","Kõrg","Kesk","Ei","Hõivatud","Hea","Kesk","Keskmine",618.121,"Suurel määral",222.495,221.666,231.324
"Mees",37,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Kesk","Keskmine",2764.67,"Mõningal määral",311.099,330.26,285.923
"Naine",57,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",697.071,"Väga vähe",173.592,215.307,219.597
"Mees",37,"25-49","Ei","Kesk","Põhi","Ei","Mitteaktiivne","Rahuldav","Põhi","Madal",NA,"Väga vähe",301.331,268.569,NA
"Mees",24,"16-24","Ei","Kesk","Kõrg",NA,"Hõivatud","Hea","Akadeemiline kõrg","Kõrge",1276.03,"Väga suurel määral",342.935,356.608,338.532
"Naine",42,"25-49","Ei","Põhi","Põhi",NA,"Hõivatud","Hea","Kesk-järgne kutse","Keskmine",749.704,"Mõningal määral",284.436,295.011,259.714
"Mees",18,"16-24","Ei","Kõrg",NA,"Ei","Mitteaktiivne","Väga hea","Põhi","Madal",NA,"Väga suurel määral",318.023,319.109,345.083
"Mees",37,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",1933.95,"Suurel määral",266.988,287.692,272.935
"Mees",23,"16-24","Ei","Põhi","Kesk","Ei","Hõivatud","Hea","Kesk","Keskmine",468.118,"Väga vähe",308.502,319.69,328.906
"Naine",42,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Põhi","Madal",278,"Mõningal määral",284.206,265.683,NA
"Mees",62,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",486.539,"Väga suurel määral",253.364,254.731,251.927
"Mees",23,"16-24","Ei","Kesk","Kõrg","Jah","Hõivatud","Hea","Kesk","Keskmine",1250,"Suurel määral",321.493,281.14,352.189
"Mees",41,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",277.847,278.665,282.67
"Mees",35,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Väga hea","Põhi","Madal",1183.17,"Mõningal määral",227.107,240.66,262.087
"Mees",38,"25-49","Ei","Kõrg","Kesk","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",316.958,288.278,282.859
"Naine",48,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",174,"Mõningal määral",239.435,224.116,243.704
"Naine",58,"50+","Jah","Kõrg","Kõrg","Jah","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",850,"Mõningal määral",370.536,364.864,336.168
"Naine",57,"50+","Jah","Põhi","Kesk","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",1000,"Suurel määral",318.786,322.709,307.171
"Mees",45,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Mõningal määral",251.257,296.658,249.114
"Naine",65,"50+","Jah","Põhi","Põhi","Ei","Mitteaktiivne","Rahuldav","Rakenduskõrg","Kõrge",NA,"Mõningal määral",247.645,203.207,NA
"Naine",51,"50+","Jah","Kesk","Põhi","Jah","Töötu","Hea","Kesk","Keskmine",NA,"Väga vähe",326.462,299.843,NA
"Naine",16,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Hea","Põhi","Madal",NA,"Suurel määral",321.451,272.57,288.389
"Mees",59,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",618.121,"Suurel määral",289.529,253.645,NA
"Mees",32,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Suurepärane","Akadeemiline kõrg","Kõrge",1276.03,"Väga suurel määral",385.298,378.691,351.724
"Naine",56,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Halb","Kesk","Keskmine",NA,"Mõningal määral",295.154,271.012,NA
"Mees",36,"25-49","Jah","Kõrg","Kesk","Jah","Hõivatud","Suurepärane","Akadeemiline kõrg","Kõrge",881.286,"Suurel määral",267.462,277.021,NA
"Mees",20,"16-24","Ei","Kõrg","Kesk","Jah","Hõivatud","Hea","Kesk","Keskmine",585,"Mõningal määral",320.025,300.423,313.717
"Mees",49,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk-järgne kutse","Keskmine",290,"Väga vähe",168.656,197.089,NA
"Mees",44,"25-49","Ei","Kesk","Kesk","Ei","Hõivatud","Rahuldav","Põhi","Madal",NA,"Mõningal määral",243.589,272.303,212.778
"Mees",46,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",1040,"Väga vähe",283.734,258.458,270.946
"Naine",34,"25-49","Jah","Kõrg",NA,"Ei","Töötu","Hea","Põhi","Madal",NA,"Suurel määral",295.925,280.719,NA
"Naine",25,"25-49","Jah","Kesk","Kõrg","Jah","Mitteaktiivne","Hea","Rakenduskõrg","Kõrge",NA,"Väga suurel määral",271.598,271.121,309.567
"Naine",46,"25-49","Jah","Põhi","Kesk",NA,"Hõivatud","Rahuldav","Kesk","Keskmine",749.704,"Suurel määral",169.822,189.226,160.295
"Naine",63,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Hea","Põhi","Madal",NA,"Üldse mitte",223.234,273.581,NA
"Naine",54,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",460.223,"Üldse mitte",250.027,232.284,NA
"Naine",20,"16-24","Ei","Kõrg","Kõrg","Ei","Töötu","Väga hea","Kesk","Keskmine",NA,"Väga suurel määral",340.003,374.423,363.544
"Naine",46,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Suurepärane","Akadeemiline kõrg","Kõrge",1144.45,"Suurel määral",340.999,304.623,293.766
"Naine",43,"25-49","Jah","Põhi","Põhi","Ei","Hõivatud","Hea","Kesk","Keskmine",NA,"Mõningal määral",292.4,306.395,249.745
"Naine",62,"50+","Jah","Kesk","Kesk","Jah","Mitteaktiivne","Rahuldav","Rakenduskõrg","Kõrge",NA,"Suurel määral",248.305,278.482,250.687
"Mees",17,"16-24","Ei","Kõrg","Kõrg","Ei","Mitteaktiivne","Suurepärane","Põhi","Madal",NA,"Suurel määral",273.505,279.204,271.566
"Mees",31,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Väga hea","Kesk","Keskmine",1407.62,"Suurel määral",287.498,290.153,310.35
"Mees",50,"50+","Jah","Põhi","Põhi",NA,"Töötu","Hea","Kesk","Keskmine",NA,"Suurel määral",149.133,136.444,NA
"Mees",27,"25-49","Ei","Kesk","Kesk",NA,"Hõivatud","Hea","Kesk","Keskmine",520,"Suurel määral",297.345,314.211,308.444
"Mees",22,"16-24","Ei","Kesk","Kõrg","Jah","Hõivatud","Hea","Kesk","Keskmine",NA,"Väga suurel määral",399.23,394.359,338.266
"Naine",16,"16-24","Ei","Kesk","Kõrg","Ei","Mitteaktiivne","Hea","Põhi","Madal",NA,"Mõningal määral",323.09,292.573,306.017
"Naine",23,"16-24","Jah","Kõrg","Kesk","Jah","Hõivatud","Hea","Kesk","Keskmine",933.919,"Suurel määral",294.447,279.308,307.877
"Naine",19,"16-24","Ei","Kesk","Põhi","Ei","Mitteaktiivne","Suurepärane","Kesk","Keskmine",NA,"Suurel määral",286.214,255.313,272.343
"Naine",26,"25-49","Jah","Kõrg","Põhi","Jah","Mitteaktiivne","Hea","Kesk","Keskmine",NA,"Üldse mitte",223.079,216.316,NA
"Mees",52,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Väga hea","Kesk","Keskmine",1407.62,"Suurel määral",252.394,275.69,243.294
"Mees",59,"50+","Jah","Põhi","Kõrg","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",276.637,270.664,NA
"Naine",26,"25-49","Jah","Kesk","Kesk","Ei","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",728,"Suurel määral",295.994,229.078,242.33
"Naine",17,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Suurepärane","Põhi","Madal",NA,"Väga vähe",236.875,215.514,233.186
"Naine",60,"50+","Jah","Põhi","Põhi","Ei","Hõivatud","Hea","Kesk","Keskmine",439.17,"Mõningal määral",258.838,235.283,224.34
"Naine",61,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",618.121,"Mõningal määral",246.938,283.115,218.512
"Mees",44,"25-49","Jah","Põhi","Põhi",NA,"Hõivatud","Hea","Kesk","Keskmine",449.696,"Suurel määral",282.731,275.653,NA
"Mees",50,"50+","Jah","Kesk","Kõrg","Jah","Hõivatud","Väga hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",313.038,294.334,274.445
"Mees",48,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",618.121,"Väga suurel määral",217.431,221.026,204.541
"Mees",43,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Põhi","Madal",730,"Mõningal määral",253.948,263.948,270.112
"Naine",30,"25-49","Jah","Kõrg","Kõrg","Jah","Mitteaktiivne","Rahuldav","Rakenduskõrg","Kõrge",NA,"Väga suurel määral",301.49,289.151,NA
"Mees",35,"25-49","Jah","Põhi","Kesk","Jah","Hõivatud","Suurepärane","Põhi","Madal",NA,"Suurel määral",231.179,273.981,221.993
"Mees",61,"50+","Jah","Kõrg","Kesk","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Väga vähe",217.897,205.427,174.713
"Mees",18,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Suurepärane","Põhi","Madal",NA,"Suurel määral",253.023,210.742,192.808
"Naine",52,"50+","Jah","Kesk","Põhi","Ei","Hõivatud","Hea","Rakenduskõrg","Kõrge",341.798,"Suurel määral",299.426,307.687,NA
"Mees",46,"25-49","Jah","Kesk","Põhi","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",277.673,267.104,NA
"Naine",29,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",618.121,"Suurel määral",306.379,266.811,304.455
"Mees",20,"16-24","Ei","Kõrg","Kesk","Ei","Hõivatud","Hea","Kesk","Keskmine",683.913,"Mõningal määral",342.579,305.993,281.039
"Mees",37,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Suurepärane","Akadeemiline kõrg","Kõrge",1200,"Mõningal määral",341.944,333.261,297.426
"Mees",29,"25-49","Jah","Kõrg","Kõrg","Jah","Mitteaktiivne","Väga hea","Kesk","Keskmine",NA,"Mõningal määral",296.654,299.965,297.55
"Naine",44,"25-49","Jah","Kesk","Põhi","Jah","Mitteaktiivne","Halb","Kesk","Keskmine",NA,"Mõningal määral",237.886,211.467,NA
"Mees",57,"50+","Jah","Kesk","Põhi","Jah","Hõivatud","Halb","Akadeemiline kõrg","Kõrge",302.324,"Suurel määral",295.514,278.741,237.97
"Mees",37,"25-49","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Suurepärane","Põhi","Madal",NA,"Mõningal määral",259.691,279.479,NA
"Mees",49,"25-49","Jah","Kesk",NA,"Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",262.44,253.049,NA
"Mees",26,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Kesk","Keskmine",280,"Suurel määral",349.723,299.182,341.155
"Mees",64,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",354.976,322.522,NA
"Mees",19,"16-24","Ei","Kõrg","Kõrg","Ei","Mitteaktiivne","Hea","Põhi","Madal",NA,"Suurel määral",326.751,343.398,362.345
"Mees",54,"50+","Jah","Põhi","Kesk","Ei","Töötu","Rahuldav","Kesk","Keskmine",NA,"Üldse mitte",210.088,219.726,NA
"Mees",58,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",723.388,"Mõningal määral",304.137,300.056,NA
"Naine",58,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Halb","Akadeemiline kõrg","Kõrge",NA,"Väga suurel määral",271.842,304.894,296.891
"Mees",44,"25-49","Ei","Põhi","Kesk","Jah","Hõivatud","Rahuldav","Põhi","Madal",486.539,"Suurel määral",308.777,299.265,285.264
"Naine",58,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",NA,"Väga suurel määral",262.693,301.411,272.985
"Naine",27,"25-49","Ei","Kõrg","Kõrg",NA,"Mitteaktiivne","Hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",355.427,345.53,322.162
"Naine",48,"25-49","Jah","Põhi","Põhi","Ei","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",828,"Suurel määral",254.636,206.197,238.637
"Naine",31,"25-49","Jah","Kesk","Kesk","Ei","Hõivatud","Suurepärane","Akadeemiline kõrg","Kõrge",486.539,"Suurel määral",302.583,313.076,284.183
"Naine",30,"25-49","Ei","Kõrg","Kõrg","Ei","Mitteaktiivne","Rahuldav","Põhi","Madal",NA,"Mõningal määral",265.469,240.886,NA
"Naine",63,"50+","Jah","Põhi","Põhi","Ei","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",639,"Suurel määral",282.22,277.907,251.137
"Naine",43,"25-49","Jah","Kesk","Kesk","Jah","Mitteaktiivne","Suurepärane","Kesk","Keskmine",NA,"Suurel määral",312.809,258.898,261.846
"Naine",41,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Suurepärane","Rakenduskõrg","Kõrge",881.286,"Suurel määral",317.816,300.937,294.781
"Naine",25,"25-49","Ei","Kõrg","Kõrg","Ei","Töötu","Väga hea","Akadeemiline kõrg","Kõrge",NA,"Väga suurel määral",290.017,257.181,318.629
"Naine",22,"16-24","Ei","Kõrg","Kesk","Ei","Mitteaktiivne","Hea","Põhi","Madal",NA,"Väga suurel määral",305.592,299.011,321.633
"Mees",40,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",306.562,318.982,293.506
"Mees",60,"50+","Jah","Põhi","Põhi",NA,"Mitteaktiivne","Rahuldav","Põhi","Madal",NA,"Mõningal määral",274.35,238.337,NA
"Naine",58,"50+","Jah","Kesk","Kesk","Ei","Hõivatud","Halb","Põhi","Madal",282.586,"Suurel määral",190.414,202.81,NA
"Naine",40,"25-49","Ei","Kesk","Kõrg","Ei","Hõivatud","Suurepärane","Kesk","Keskmine",272,"Väga suurel määral",328.671,300.362,318.894
"Mees",54,"50+","Ei",NA,NA,NA,"Mitteaktiivne","Halb","Põhi","Madal",NA,"Suurel määral",150.052,130.045,NA
"Naine",45,"25-49","Jah","Põhi","Põhi","Ei","Hõivatud","Rahuldav","Kesk","Keskmine",692.811,"Mõningal määral",249.808,241.03,NA
"Naine",29,"25-49","Jah","Kõrg","Kesk","Ei","Töötu","Rahuldav","Põhi","Madal",NA,"Väga suurel määral",204.348,174.124,214.163
"Naine",35,"25-49","Jah","Põhi","Kesk","Jah","Hõivatud","Hea","Põhi","Madal",552.33,"Suurel määral",187.122,191.868,223.173
"Naine",62,"50+","Jah","Kõrg","Kõrg","Jah","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",345.415,286.666,NA
"Naine",24,"16-24","Ei","Kesk","Kõrg",NA,"Hõivatud","Väga hea","Rakenduskõrg","Kõrge",683.913,"Suurel määral",360.686,310.247,NA
"Mees",29,"25-49","Jah","Kõrg","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",NA,"Suurel määral",238.329,275.709,252.453
"Mees",33,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",2460.28,"Mõningal määral",279.517,288.626,310.286
"Mees",38,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Väga hea","Kesk","Keskmine",1733.33,"Suurel määral",311.656,271.204,249.774
"Naine",35,"25-49","Ei","Kõrg","Kõrg",NA,"Mitteaktiivne","Väga hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",350.572,341.724,328.869
"Naine",18,"16-24","Ei","Põhi","Põhi","Ei","Mitteaktiivne","Väga hea","Põhi","Madal",NA,"Väga suurel määral",295.938,301.736,289.918
"Naine",55,"50+","Jah","Kesk","Kesk","Ei","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",NA,"Väga suurel määral",228.031,253.122,244.913
"Naine",38,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",1933.95,"Suurel määral",189.959,193.993,200.195
"Naine",24,"16-24","Ei","Kesk","Kesk","Ei","Hõivatud","Hea","Rakenduskõrg","Kõrge",500,"Suurel määral",307.048,305.937,297.816
"Naine",24,"16-24","Jah","Kesk","Põhi","Jah","Mitteaktiivne","Hea","Kesk","Keskmine",NA,"Suurel määral",363.149,355.084,338.833
"Naine",32,"25-49","Ei","Kesk","Kesk",NA,"Hõivatud","Hea","Rakenduskõrg","Kõrge",1032.61,"Mõningal määral",313.456,315.141,257.16
"Naine",17,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Suurepärane","Põhi","Madal",NA,"Suurel määral",294.275,273.036,324.382
"Naine",25,"25-49","Ei","Kõrg","Kõrg","Ei","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",NA,"Väga suurel määral",337.89,309.424,317.882
"Naine",42,"25-49","Jah","Kesk","Kesk","Ei","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",NA,"Suurel määral",203.74,228.305,205.695
"Mees",50,"50+","Jah","Kõrg","Kesk","Jah","Mitteaktiivne","Hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",275.254,265.443,261.317
"Mees",64,"50+","Jah","Põhi",NA,"Jah","Mitteaktiivne","Rahuldav","Põhi","Madal",NA,"Üldse mitte",214.782,190.494,NA
"Naine",49,"25-49","Jah","Kõrg","Kõrg","Ei","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",287.875,293.858,279.428
"Naine",25,"25-49","Jah","Kesk","Kõrg","Jah","Hõivatud","Hea","Kesk","Keskmine",335.219,"Väga suurel määral",239.447,240.944,230.877
"Mees",65,"50+","Jah","Kesk","Kesk","Ei","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",1012.87,"Mõningal määral",182.367,192.557,NA
"Mees",30,"25-49","Ei","Kesk","Kesk","Jah","Hõivatud","Hea","Kesk","Keskmine",881.286,"Mõningal määral",297.195,287.16,268.985
"Naine",36,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Põhi","Madal",NA,"Suurel määral",278.199,322.019,290.142
"Naine",58,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Halb","Rakenduskõrg","Kõrge",NA,"Üldse mitte",271.317,296.29,NA
"Mees",23,"16-24","Ei","Kõrg",NA,"Ei","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",1295.77,"Mõningal määral",307.014,345.599,280.674
"Naine",33,"25-49","Jah","Kõrg","Kõrg","Ei","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",299.569,320.614,349.825
"Naine",50,"50+","Jah","Kõrg","Kõrg","Ei","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",644.475,"Mõningal määral",288.242,280.131,NA
"Naine",50,"50+","Jah","Kõrg","Põhi",NA,"Mitteaktiivne","Rahuldav","Rakenduskõrg","Kõrge",NA,"Mõningal määral",247.566,313.238,229.792
"Mees",22,"16-24","Ei","Kesk","Kesk","Ei","Hõivatud","Rahuldav","Kesk","Keskmine",348.378,"Üldse mitte",249.039,229.728,NA
"Naine",23,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Hea","Kesk","Keskmine",NA,"Suurel määral",299.269,255.909,292.054
"Mees",26,"25-49","Ei","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Kesk","Keskmine",1539.2,"Mõningal määral",318.425,332.484,323.923
"Naine",45,"25-49","Jah","Kesk","Kõrg","Jah","Mitteaktiivne","Hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",324.254,293.574,284.477
"Naine",23,"16-24","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Põhi","Madal",341.798,"Suurel määral",273.418,281.008,278.164
"Naine",21,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Hea","Kesk","Keskmine",NA,"Suurel määral",320.466,294.378,294.931
"Mees",28,"25-49","Jah","Põhi",NA,"Jah","Hõivatud","Hea","Põhi","Madal",223.374,"Mõningal määral",174.556,237.174,228.682
"Naine",33,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",NA,"Väga suurel määral",334.074,300.809,330.983
