"sugu","vanus","vanus3","lapsed","emaharidus","isaharidus","kaaslane","staatus3","tervis","haridus","haridustase","sissetulek","meeldib_oppida","literacy","numeracy","psolvskills"
"Mees",31,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",1012.87,"Suurel määral",316.412,324.303,299.648
"Mees",33,"25-49","Ei",NA,NA,"Ei","Hõivatud","Halb","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",300.948,348.49,302.124
"Mees",26,"25-49","Ei","Kesk","Põhi","Ei","Töötu","Hea","Põhi","Madal",NA,"Suurel määral",216.267,220.097,NA
"Naine",38,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",520,"Väga suurel määral",335.905,320.847,326.658
"Naine",54,"50+","Ei","Kesk","Kõrg",NA,"Hõivatud","Rahuldav","Kesk","Keskmine",NA,"Väga suurel määral",293.782,262.599,288.594
"Naine",53,"50+","Jah","Kõrg","Kõrg","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",512.856,"Mõningal määral",295.14,258.332,220.455
"Naine",16,"16-24","Ei","Põhi","Põhi","Ei","Mitteaktiivne","Hea","Põhi","Madal",NA,"Suurel määral",263.182,258.757,292.977
"Naine",51,"50+","Jah","Põhi","Kõrg",NA,"Hõivatud","Hea","Rakenduskõrg","Kõrge",758.915,"Väga suurel määral",328.329,322.438,NA
"Naine",39,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Väga hea","Kesk-järgne kutse","Keskmine",NA,"Mõningal määral",310.877,272.363,305.436
"Naine",37,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Hea","Kesk","Keskmine",289.166,"Mõningal määral",217.996,235.312,224.712
"Mees",48,"25-49","Jah","Kõrg","Põhi","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",277.286,293.175,303.67
"Mees",37,"25-49","Ei","Põhi","Põhi","Ei","Hõivatud","Hea","Kesk","Keskmine",644.475,"Mõningal määral",262.883,243.787,210.353
"Mees",47,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",552.33,"Suurel määral",325.005,342.464,NA
"Mees",55,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",600,"Mõningal määral",317.751,282.595,NA
